id,trial,x,y,ymax,kernel,scenario,horizon,round,reward,experimentDuration,instructionsDuration,overall,Horizon
1,3,25,66.8461758603,55,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,4,14,57.6350778286,55,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,5,3,27.4872400873,55,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,6,0,73.1641084167,55,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,7,7,72.792574843,55,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,8,28,73.2933025539,55,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,9,29,73.2933025539,55,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,10,17,72.792574843,65,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,11,18,72.792574843,65,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,1,11,25.7064906825,51,Rough,Avg. Reward Condition,5,13,1.01,0:04:16,0:00:52,13,Short
1,2,12,28.8999380099,51,Rough,Avg. Reward Condition,5,13,1.01,0:04:16,0:00:52,13,Short
1,3,7,72.2618199267,63,Rough,Avg. Reward Condition,5,13,1.01,0:04:16,0:00:52,13,Short
1,4,4,72.2618199267,63,Rough,Avg. Reward Condition,5,13,1.01,0:04:16,0:00:52,13,Short
1,5,21,72.2618199267,64,Rough,Avg. Reward Condition,5,13,1.01,0:04:16,0:00:52,13,Short
1,6,22,72.2618199267,69,Rough,Avg. Reward Condition,5,13,1.01,0:04:16,0:00:52,13,Short
1,1,29,42.6153913119,70,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,2,28,46.7926236457,94,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,3,27,22.3577901838,94,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,4,26,43.2301552019,94,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,5,25,29.5579685945,94,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,6,24,49.540979589,99,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,7,23,25.6363457067,99,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,8,22,91.3815337505,99,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,9,21,91.3815337505,99,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,10,20,91.3815337505,99,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,11,19,91.3815337505,99,Rough,Avg. Reward Condition,10,14,1.01,0:04:16,0:00:52,14,Long
1,1,19,10.0582969401,35,Rough,Avg. Reward Condition,5,15,1.01,0:04:16,0:00:52,15,Short
1,2,14,50.6774289461,36,Rough,Avg. Reward Condition,5,15,1.01,0:04:16,0:00:52,15,Short
1,3,9,4.108562617,47,Rough,Avg. Reward Condition,5,15,1.01,0:04:16,0:00:52,15,Short
